id	time	open	high	low	close	tick_volume	spread	real_volume
0	2020-07-10 10:11:00	17.65	17.76	17.58	17.7	1177	0	1543800
1	2020-07-10 10:12:00	17.7	17.86	17.67	17.86	750	1	840200
2	2020-07-10 10:13:00	17.86	17.87	17.77	17.83	781	1	849900
3	2020-07-10 10:14:00	17.85	17.85	17.75	17.8	695	1	630500
4	2020-07-10 10:15:00	17.79	17.92	17.76	17.92	828	1	748800
5	2020-07-10 10:16:00	17.92	17.95	17.84	17.92	670	1	544400
6	2020-07-10 10:17:00	17.92	17.95	17.85	17.93	618	1	447900
7	2020-07-10 10:18:00	17.93	17.99	17.92	17.96	820	1	929100
8	2020-07-10 10:19:00	17.96	18.06	17.94	18.03	1063	1	1137100
9	2020-07-10 10:20:00	18.02	18.04	17.95	17.97	818	1	842000
10	2020-07-10 10:21:00	17.97	18.03	17.95	18.01	489	1	474900
11	2020-07-10 10:22:00	18.02	18.02	17.92	17.96	725	1	515600
12	2020-07-10 10:23:00	17.95	17.97	17.88	17.93	714	1	544100
13	2020-07-10 10:24:00	17.93	17.95	17.91	17.95	217	1	170500
14	2020-07-10 10:25:00	17.94	17.95	17.84	17.86	786	1	655000
15	2020-07-10 10:26:00	17.86	17.92	17.85	17.92	555	1	362800
16	2020-07-10 10:27:00	17.92	18.01	17.92	17.99	765	1	576900
17	2020-07-10 10:28:00	17.98	17.99	17.92	17.93	565	1	369200
18	2020-07-10 10:29:00	17.94	17.96	17.93	17.95	271	1	176300
19	2020-07-10 10:30:00	17.95	17.99	17.93	17.97	634	1	526100
20	2020-07-10 10:31:00	17.97	18.0	17.94	17.96	553	1	378500
21	2020-07-10 10:32:00	17.96	18.01	17.95	17.99	572	1	401800
22	2020-07-10 10:33:00	17.98	18.0	17.92	17.93	550	1	558600
23	2020-07-10 10:34:00	17.93	17.95	17.83	17.85	830	1	675000
24	2020-07-10 10:35:00	17.86	17.9	17.82	17.88	549	1	356400
25	2020-07-10 10:36:00	17.88	17.96	17.87	17.93	552	1	369500
26	2020-07-10 10:37:00	17.94	17.94	17.88	17.9	432	1	220000
27	2020-07-10 10:38:00	17.9	17.92	17.85	17.86	381	1	288400
28	2020-07-10 10:39:00	17.86	17.9	17.85	17.89	377	1	262800
29	2020-07-10 10:40:00	17.89	17.92	17.88	17.89	347	1	360000
30	2020-07-10 10:41:00	17.9	17.9	17.83	17.87	528	1	366800
31	2020-07-10 10:42:00	17.87	17.87	17.81	17.85	466	1	493200
32	2020-07-10 10:43:00	17.84	17.85	17.74	17.75	1016	1	822400
33	2020-07-10 10:44:00	17.76	17.85	17.74	17.85	481	1	623000
34	2020-07-10 10:45:00	17.85	17.85	17.76	17.79	510	1	477600
35	2020-07-10 10:46:00	17.79	17.79	17.75	17.75	698	1	774700
36	2020-07-10 10:47:00	17.75	17.78	17.74	17.76	303	1	204000
37	2020-07-10 10:48:00	17.76	17.76	17.68	17.71	794	1	663500
38	2020-07-10 10:49:00	17.71	17.76	17.68	17.69	477	1	545500
39	2020-07-10 10:50:00	17.68	17.7	17.61	17.63	663	1	477700
40	2020-07-10 10:51:00	17.63	17.64	17.58	17.63	808	1	624000
41	2020-07-10 10:52:00	17.63	17.68	17.58	17.58	568	1	506000
42	2020-07-10 10:53:00	17.58	17.6	17.5	17.58	1103	1	1178100
43	2020-07-10 10:54:00	17.58	17.62	17.53	17.58	551	1	560100
44	2020-07-10 10:55:00	17.59	17.67	17.58	17.64	403	1	525700
45	2020-07-10 10:56:00	17.64	17.65	17.6	17.61	349	1	252000
46	2020-07-10 10:57:00	17.6	17.63	17.58	17.63	355	1	261200
47	2020-07-10 10:58:00	17.62	17.7	17.62	17.7	377	1	216000
48	2020-07-10 10:59:00	17.69	17.74	17.69	17.74	523	1	518600
49	2020-07-10 11:00:00	17.74	17.74	17.65	17.68	479	1	549700
